shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10082,33.846592,-118.223985,140001,4.195
10082,33.846594,-118.223734,140002,4.210
10082,33.846600,-118.223447,140003,4.226
10082,33.846622,-118.222797,140004,4.263
10082,33.846653,-118.221016,140005,4.366
10082,33.846657,-118.220756,140006,4.381
10082,33.846655,-118.220642,140007,4.387
10082,33.846653,-118.220539,140008,4.393
10082,33.846655,-118.220402,140009,4.401
10082,33.846659,-118.220216,140010,4.412
10082,33.846644,-118.219369,140011,4.461
10082,33.846642,-118.219271,140012,4.466
10082,33.846596,-118.217995,140013,4.540
10082,33.846592,-118.217856,140014,4.548
10082,33.846588,-118.216457,140015,4.628
10082,33.846585,-118.215885,140016,4.661
10082,33.846583,-118.215418,140017,4.688
10082,33.846580,-118.214765,140018,4.726
10082,33.846580,-118.214765,150001,4.726
10082,33.846579,-118.214656,150002,4.732
10082,33.846583,-118.214433,150003,4.745
10082,33.846583,-118.213822,150004,4.780
10082,33.846584,-118.212944,150005,4.830
10082,33.846586,-118.212517,150006,4.855
10082,33.846589,-118.211781,150007,4.897
10082,33.846582,-118.211662,150008,4.904
10082,33.846738,-118.211631,150009,4.915
10082,33.847467,-118.211556,150010,4.965
10082,33.847581,-118.211542,150011,4.973
10082,33.847636,-118.211538,150012,4.977
10082,33.847632,-118.211097,150013,5.002
10082,33.847963,-118.211235,150014,5.027
10083,33.848112,-118.211297,10001,0.000
10083,33.848619,-118.211508,10002,0.037
10083,33.848617,-118.211665,10003,0.046
10083,33.848471,-118.211633,10004,0.056
10083,33.848262,-118.211603,10005,0.071
10083,33.848052,-118.211591,10006,0.085
10083,33.847922,-118.211590,10007,0.094
10083,33.847751,-118.211605,10008,0.106
10083,33.847661,-118.211679,10009,0.114
10083,33.847425,-118.211706,10010,0.130
10083,33.847082,-118.211739,10011,0.154
10083,33.846733,-118.211768,10012,0.178
10083,33.846727,-118.212242,10013,0.205
10083,33.846724,-118.212935,10014,0.245
10083,33.846725,-118.213877,10015,0.299
10083,33.846726,-118.214499,10016,0.335
10083,33.846727,-118.214540,10017,0.337
10083,33.846727,-118.214540,20001,0.337
10083,33.846728,-118.214660,20002,0.344
